waste,hazard,nace_r2,unit,country,year,value
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2012,12628
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2014,15124
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2016,13229
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2018,11378
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2020,13922
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,2022,11056
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2004,2049
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2006,1916
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2008,1944
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2010,1767
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2012,1855
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2014,2058
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2016,2266
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2018,2459
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2020,2304
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,2022,1919
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2004,17883
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2006,17233
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2008,19222
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2010,19847
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2012,15222
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2014,12287
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2016,16604
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2018,14119
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2020,14221
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Luxembourg,2022,14447
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2004,548
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2006,808
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2008,656
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2010,682
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2012,1089
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2014,1263
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2016,941
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2018,880
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2020,1427
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Latvia,2022,1300
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2012,1297
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2014,1322
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2016,1296
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2018,1419
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2020,1453
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Montenegro,2022,1573
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2008,662
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2010,1060
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2012,3781
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2014,1038
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2016,660
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2018,539
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2020,515
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,North Macedonia,2022,814
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Malta,2004,7730
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Malta,2006,6934
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Malta,2008,4922
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Malta,2010,3185
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Malta,2012,3545
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Malta,2014,3875
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Malta,2016,4084
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Malta,2018,5268
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Malta,2020,6857
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Malta,2022,4920
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2004,5547
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2006,5752
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2008,5971
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2010,7021
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2012,6944
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2014,7562
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2016,7979
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2018,8131
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2020,6887
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Netherlands,2022,6675
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Norway,2004,1477
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Norway,2006,1866
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Norway,2008,1854
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Norway,2010,1569
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Norway,2012,1866
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Norway,2014,1756
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Norway,2016,1817
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Norway,2018,2354
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Norway,2020,2263
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Norway,2022,2225
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Poland,2004,3558
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Poland,2006,3965
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Poland,2008,3607
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Poland,2010,4131
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Poland,2012,4221
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Poland,2014,4670
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Poland,2016,4743
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Poland,2018,4521
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Poland,2020,4432
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Poland,2022,4678
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2004,2581
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2006,2746
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2008,1546
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2010,1226
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2012,1201
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2014,1310
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2016,1347
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2018,1437
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2020,1521
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Portugal,2022,1800
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Romania,2004,17108
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Romania,2006,16198
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Romania,2008,9183
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Romania,2010,9914
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Romania,2012,12397
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Romania,2014,8841
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Romania,2016,8981
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Romania,2018,10387
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Romania,2020,7304
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Romania,2022,8353
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2010,3080
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2012,5632
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2014,5000
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2016,4496
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2018,5120
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2020,6854
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Serbia,2022,21880
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2004,10022
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2006,10167
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2008,9122
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2010,12275
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2012,16137
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2014,16961
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2016,14033
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2018,13345
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2020,13896
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Sweden,2022,14943
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2004,2836
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2006,2950
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2008,2417
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2010,2865
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2012,2145
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2014,2197
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2016,2601
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2018,3902
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2020,3513
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovenia,2022,5334
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2004,1907
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2006,2600
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2008,2035
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2010,1663
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2012,1490
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2014,1567
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2016,1862
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2018,2194
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2020,2258
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Slovakia,2022,2371
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2004,855
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2006,665
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2008,897
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2010,825
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2012,843
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2014,902
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2016,883
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2018,1012
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2020,923
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Türkiye,2022,966
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2004,4848
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2006,4646
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2008,4448
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2010,3769
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2012,3701
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2014,3984
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2016,4055
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,United Kingdom,2018,4156
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,2012,648
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,2014,573
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,2016,1607
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,2018,1502
Total waste,Non-hazardous,All NACE activities plus households,Kilograms per capita,Kosovo*,2020,1448
